Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:Origin_Other,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.141,-4.00256,273.061,221.142,27.8037,279.633,,,,617.021,58.3545,293.228
120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.163,-4.21986,273.143,221.151,27.8237,279.633,,,,617.021,58.3548,293.228
121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.181,-4.37533,273.162,221.151,27.817,279.617,,,,617.021,58.3546,293.228
122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.2,-4.55635,273.191,221.138,27.7848,279.606,,,,617.021,58.3546,293.228
123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.2,-4.75792,273.23,221.154,27.8184,279.615,,,,617.021,58.3561,293.222
124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.209,-4.91434,273.238,221.138,27.7854,279.606,,,,617.021,58.3562,293.222
125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.225,-5.03625,273.283,221.144,27.8221,279.615,,,,617.021,58.3562,293.222
126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.244,-5.10322,273.283,221.146,27.8218,279.596,,,,617.021,58.3562,293.222
127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.272,-5.16813,273.301,221.137,27.7966,279.608,,,,617.021,58.3562,293.222
128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.308,-5.18608,273.333,221.137,27.7958,279.608,,,,617.021,58.3562,293.222
