Trajectories
150
,,Snake_94:Head_M1,,,Snake_94:M2,,,Snake_94:M3,,,Snake_94:M4,,,Snake_94:M5,,,Snake_94:M6,,,Snake_94:M7,,,Snake_94:M8,,,Snake_94:M9,,,Snake_94:Vent_M10,,,Branch_1:OriginEnd,,,Branch_1:TargetEnd,,,Branch_1:OriginOther,,,Branch_1:TargetOther,,,Branch:OriginEnd,,,Branch:TargetEnd,,,Branch:OriginOther,,,Branch:TargetOther,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
7488,0,-108.944,232.668,543.19,-188.163,235.219,534.043,-267.616,247.448,558.242,-345.688,272.347,553.673,-400.612,222.073,556.952,-470.928,250.958,563.814,-543.438,254.965,561.894,-608.423,203.866,558.705,-691.791,252.434,557.62,-773.503,208.718,560.183,-249.25,246.149,538.481,294.485,260.511,533.863,-923.548,220.86,561.239,690.451,278.321,542.852,,,,,,,,,,,,
7489,0,-108.898,232.73,543.242,-188.102,235.577,533.994,-267.59,247.467,558.234,-345.565,272.503,553.665,-400.312,222.176,556.914,-470.306,250.593,563.815,-542.98,255.491,561.711,-607.76,203.909,558.605,-690.739,252.214,557.589,-772.768,209.248,560.432,-249.228,246.166,538.505,294.485,260.51,533.863,-923.548,220.859,561.239,690.451,278.321,542.852,,,,,,,,,,,,
7490,0,-109.022,233.354,543.285,-187.936,235.877,533.948,-267.593,247.465,558.249,-345.453,272.608,553.641,-399.597,221.543,556.802,-469.046,248.96,563.788,-542.575,255.846,561.519,-607.224,203.782,558.598,-690.249,252.266,557.521,-772.38,209.288,560.803,-249.272,246.071,538.473,294.459,260.47,533.799,-923.548,220.86,561.239,690.451,278.321,542.852,,,,,,,,,,,,
7491,0,-108.778,233.704,543.352,-187.894,236.387,533.855,-267.537,247.451,558.259,-345.336,272.842,553.628,-399.066,221.065,556.761,-468.363,248.315,563.895,-542.036,256.168,561.316,-606.562,203.676,558.429,-689.712,252.554,557.691,-771.453,210.525,561.058,-249.274,246.074,538.481,294.455,260.475,533.806,-923.548,220.85,561.231,690.451,278.321,542.852,,,,,,,,,,,,
7492,0,-108.712,234.204,543.473,-187.843,236.825,533.774,-267.441,247.469,558.212,-345.291,273.246,553.651,-399.157,221.704,556.772,,,,-541.26,256.754,561.542,-605.963,203.644,558.432,-688.676,252.1,557.597,-770.832,211.241,561.24,-249.247,246.098,538.488,294.485,260.503,533.871,-923.548,220.859,561.239,690.451,278.321,542.852,,,,,,,,,,,,
7493,0,-108.651,234.487,543.544,-187.77,237.182,533.779,-267.366,247.586,558.279,-345.173,273.511,553.615,-398.298,221.022,556.643,-467.699,247.987,564.166,-541.352,256.945,561.103,-605.344,203.637,558.361,-688.298,252.341,557.761,-770.016,211.736,561.321,-249.243,246.162,538.514,294.485,260.504,533.872,-923.548,220.85,561.231,690.452,278.314,542.861,,,,,,,,,,,,
7494,0,-108.838,235.52,543.598,-187.46,237.863,533.688,-267.131,247.642,558.316,-345.035,273.662,553.538,-398.184,221.398,556.64,-467.303,247.735,564.2,-540.872,257.526,560.767,,,,-687.325,252.004,557.866,-769.314,212.534,561.729,-249.238,246.173,538.525,294.447,260.496,533.804,-923.539,220.83,561.229,690.452,278.314,542.862,,,,,,,,,,,,
7495,0,-108.655,236.079,543.83,-187.616,238.375,533.512,-266.989,247.65,558.18,-344.902,273.758,553.228,-398.266,221.952,556.643,-466.828,247.362,564.21,-540.437,257.946,560.53,-604.145,203.481,558.299,-686.704,251.984,557.917,-768.246,213.323,562.001,-249.254,246.127,538.447,294.478,260.505,533.87,-923.547,220.849,561.23,690.452,278.314,542.862,,,,,,,,,,,,
7496,0,-108.497,236.272,543.735,-187.888,238.625,533,-266.885,247.723,558.151,-344.7,274.103,552.997,-397.554,221.335,556.582,,,,-540.298,258.471,560.259,-603.421,203.689,558.383,-685.895,251.854,557.95,-767.62,213.853,562,-249.258,246.121,538.435,294.478,260.505,533.871,-923.533,220.815,561.226,690.452,278.314,542.862,,,,,,,,,,,,
7497,0,-108.787,237.576,543.885,-187.316,239.726,533.221,-266.776,247.716,558.107,-344.527,274.418,552.756,-396.896,221.021,556.589,,,,-539.771,258.638,559.951,,,,-685.34,251.682,557.964,-766.786,214.039,562.406,-249.257,246.122,538.436,294.458,260.49,533.806,-923.533,220.814,561.226,690.451,278.321,542.852,,,,,,,,,,,,
