Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,Branch:Origin_End,,,Branch:Target_End,,,Branch:Origin_Other,,,Branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.092,177.453,502.534,-110.973,179.648,-829.763,-382.095,193.254,891.288,-30.347,191.749
88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.558,-243.092,177.453,502.534,-110.973,179.648,-829.767,-382.089,193.254,891.308,-30.3329,191.719
89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.575,-243.101,177.452,502.537,-110.974,179.665,-829.767,-382.089,193.254,891.308,-30.3262,191.684
90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.555,-243.084,177.434,502.549,-110.964,179.667,-829.763,-382.095,193.254,891.309,-30.3256,191.709
91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.564,-243.108,177.436,502.536,-110.972,179.653,-829.761,-382.104,193.244,891.272,-30.2508,191.667
92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.565,-243.11,177.436,502.523,-110.982,179.651,-829.759,-382.113,193.234,891.272,-30.2543,191.711
93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.59,-243.143,177.433,502.536,-110.972,179.653,-829.764,-382.106,193.234,891.272,-30.2563,191.712
94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.591,-243.145,177.433,502.523,-110.982,179.651,-829.764,-382.106,193.234,891.273,-30.2905,191.712
95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.565,-243.11,177.436,502.535,-110.97,179.641,-829.759,-382.112,193.234,891.273,-30.2904,191.7
96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.564,-243.109,177.436,502.523,-110.982,179.651,-829.759,-382.113,193.234,891.273,-30.2771,191.647
97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.59,-243.143,177.433,502.536,-110.972,179.653,-829.759,-382.113,193.234,891.273,-30.2559,191.645
98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.593,-243.076,177.435,502.536,-110.972,179.653,-829.766,-382.095,193.237,891.309,-30.3154,191.689
99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.6,-243.096,177.435,502.535,-110.97,179.641,-829.766,-382.094,193.237,891.309,-30.2832,191.678
100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.59,-243.143,177.433,502.522,-110.98,179.639,-829.762,-382.101,193.237,891.309,-30.3142,191.677
101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.608,-243.155,177.431,502.535,-110.97,179.641,-829.749,-382.116,193.253,891.29,-30.3367,191.677
102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.584,-243.127,177.451,502.535,-110.97,179.641,-829.749,-382.114,193.246,891.308,-30.2689,191.625
103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.594,-243.08,177.453,502.522,-110.98,179.639,-829.763,-382.093,193.247,891.308,-30.3081,191.644
104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.575,-243.1,177.452,502.549,-110.962,179.655,-829.753,-382.11,193.253,891.308,-30.3191,191.664
105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.551,-243.074,177.472,502.523,-110.982,179.651,-829.748,-382.119,193.26,891.308,-30.2899,191.698
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.557,-243.09,177.454,502.536,-110.972,179.653,-829.763,-382.096,193.254,891.288,-30.3362,191.664
107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.587,-243.062,177.472,502.534,-110.973,179.648,-829.763,-382.098,193.261,891.286,-30.2974,191.685
108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.577,-243.105,177.47,502.534,-110.973,179.648,-829.754,-382.072,193.26,891.287,-30.3295,191.685
109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.577,-243.108,177.47,502.523,-110.982,179.651,-829.763,-382.095,193.254,891.307,-30.3127,191.686
110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.577,-243.107,177.47,502.522,-110.98,179.639,-829.763,-382.096,193.254,891.289,-30.3305,191.71
111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.609,-243.159,177.449,502.523,-110.982,179.651,-829.754,-382.069,193.253,891.287,-30.3315,191.685
112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.161,177.448,502.523,-110.982,179.651,-829.755,-382.069,193.253,891.287,-30.3312,191.685
113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.16,177.448,502.51,-110.992,179.649,-829.753,-382.075,193.236,891.289,-30.3459,191.708
114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.16,177.448,502.523,-110.982,179.651,-829.739,-382.096,193.235,891.289,-30.3385,191.664
115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.627,-243.167,177.435,502.536,-110.972,179.653,-829.757,-382.069,193.236,891.308,-30.3186,191.664
116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.653,-243.201,177.432,502.523,-110.982,179.651,-829.756,-382.076,193.227,891.308,-30.318,191.664
117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.654,-243.205,177.444,502.523,-110.982,179.651,-829.756,-382.077,193.227,891.273,-30.2761,191.635
118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.636,-243.195,177.446,502.523,-110.982,179.651,-829.751,-382.083,193.226,891.272,-30.2881,191.7
119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.625,-243.237,177.446,502.536,-110.972,179.653,-829.759,-382.112,193.234,891.272,-30.2501,191.668
120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.636,-243.196,177.446,502.522,-110.982,179.635,-829.764,-382.104,193.227,891.289,-30.3413,191.696
121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.16,177.448,502.535,-110.97,179.641,-829.76,-382.11,193.227,891.29,-30.3467,191.697
122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.599,-243.204,177.447,502.523,-110.98,179.639,-829.759,-382.113,193.234,891.307,-30.2842,191.665
123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.61,-243.162,177.448,502.527,-111.003,179.64,-829.756,-382.087,193.242,891.308,-30.3216,191.697
124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.613,-243.167,177.467,502.527,-111.004,179.64,-829.746,-382.097,193.234,891.308,-30.2924,191.709
125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.613,-243.168,177.467,502.523,-110.982,179.651,-829.755,-382.086,193.242,891.308,-30.3225,191.698
126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.613,-243.168,177.467,502.514,-111.015,179.634,-829.762,-382.071,193.252,891.288,-30.3035,191.664
127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-168.606,-243.149,177.486,502.536,-110.973,179.653,-829.758,-382.077,193.252,891.307,-30.3251,191.684
