Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_90:Head_M1,,,Snake_90:M2,,,Snake_90:M3,,,Snake_90:M4,,,Snake_90:M5,,,Snake_90:M6,,,Snake_90:M7,,,Snake_90:M8,,,Snake_90:M9,,,Snake_90:Vent_M10,,,branch:OriginEnd,,,branch:TargetEnd,,,branch:OriginOther,,,branch:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8170,0,-328.281,21.9047,615.185,-398.689,12.8967,613.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8171,0,-325.833,23.4978,614.979,-396.8,13.7258,613.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8172,0,-324.308,22.5868,614.822,-394.948,14.2634,613.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8173,0,-322.374,23.1965,614.964,-392.695,15.0787,613.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8174,0,-320.253,24.0765,614.9,-391.36,15.342,613.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8175,0,-318.018,24.827,614.664,-389.362,15.7777,613.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8176,0,-316.249,24.5427,614.679,-387.322,16.7939,613.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8177,0,-314.476,24.5463,614.706,-385.617,17.2462,613.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8178,0,-312.856,24.7475,614.042,-383.799,17.6785,613.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8179,0,-310.853,24.536,614.191,-381.977,18.0014,614.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8180,0,-308.896,24.3865,614.042,-380.16,18.5783,614.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8181,0,-306.558,26.2392,614.012,-378.092,18.8931,614.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8182,0,-304.992,26.2126,613.657,-376.164,19.5404,614.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8183,0,-302.533,26.6253,613.907,-374.282,20.4315,614.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8184,0,-300.738,25.6306,613.638,-372.264,20.7864,614.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8185,0,-298.824,26.214,613.375,-370.409,21.4276,614.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8186,0,-296.475,27.527,613.272,-368.323,21.2705,614.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8187,0,-294.646,28.1725,612.983,-366.387,21.698,614.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8188,0,-292.664,27.9181,612.776,-364.039,21.9885,614.167,,,,,,,-598.539,-14.1649,620.776,,,,,,,,,,,,,,,,,,,,,,,,,,,
8189,0,-290.351,27.4165,613.164,-361.912,23.0656,613.924,,,,,,,-596.796,-13.9878,621.146,,,,,,,,,,,,,,,,,,,,,,,,,,,
8190,0,-288.911,27.7876,612.278,-360.055,23.407,613.966,,,,,,,-594.802,-12.5336,621.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
8191,0,-286.046,26.7274,612.397,-358.172,23.3294,613.817,,,,,,,-593.404,-11.4674,621.492,,,,,,,,,,,,,,,,,,,,,,,,,,,
8192,0,-284.046,27.8809,612.15,-355.795,23.9668,613.838,,,,,,,-591.598,-11.4441,621.567,,,,,,,,,,,,,,,,,,,,,,,,,,,
8193,0,-282.697,26.9719,611.919,-353.824,24.1746,613.921,,,,,,,-589.927,-10.4589,621.748,,,,,,,,,,,,,,,,,,,,,,,,,,,
8194,0,-280.667,26.6638,611.667,-352.227,24.0068,613.839,,,,,,,-587.871,-10.1146,621.786,,,,,,,,,,,,,,,,,,,,,,,,,,,
8195,0,-278.912,26.7263,611.357,-350.185,24.2668,613.618,,,,,,,-586.418,-9.83452,622.029,,,,,,,,,,,,,,,,,,,,,,,,,,,
8196,0,-276.773,27.9573,611.25,-348.544,23.6797,613.626,,,,,,,-584.197,-8.95888,621.667,,,,,,,,,,,,,,,,,,,,,,,,,,,
8197,0,-274.886,27.9296,611.052,-346.96,23.4892,613.484,,,,,,,-582.703,-8.70047,621.996,,,,,,,,,,,,,,,,,,,,,,,,,,,
8198,0,-272.906,27.8213,610.989,-344.308,24.2848,613.239,,,,,,,-581.05,-8.27542,622.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,0,-271.281,27.01,610.795,-342.214,24.4345,613.194,,,,,,,-579.265,-7.59335,622.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
8200,0,-269.559,27.0118,610.623,-340.511,24.3739,613.138,,,,,,,-577.449,-7.52576,622.061,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,0,-267.483,28.8856,610.474,-339.265,23.6586,613.214,,,,,,,-575.69,-6.64489,622.241,,,,,,,,,,,,,,,,,,,,,,,,,,,
8202,0,-265.843,28.6165,610.516,-337.552,23.8733,612.979,,,,,,,-574.12,-6.26022,622.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
8203,0,-264.099,28.733,610.544,-335.175,24.8376,613.016,,,,,,,-572.52,-5.339,622.517,,,,,,,-793.338,-37.8076,627.986,,,,,,,,,,,,,,,,,,
8204,0,-262.435,28.7827,610.342,-333.758,24.5994,613.349,,,,,,,-570.955,-4.76183,622.606,,,,,,,-791.881,-37.3498,628.099,,,,,,,,,,,,,,,,,,
8205,0,-260.772,28.1044,609.872,-331.913,24.5365,613.041,,,,,,,-569.633,-4.37234,622.984,,,,,,,-790.265,-37.1658,628.222,,,,,,,,,,,,,,,,,,
8206,0,-259.179,28.603,609.528,-329.583,25.2913,613.071,,,,,,,-568.12,-3.71318,623.089,,,,,,,-788.758,-36.7147,628.039,,,,,,,,,,,,,,,,,,
