Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,branch:Origin_End,,,branch:Target_End,,,branch:OriginOther,,,branch:Target_Other,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.165,-9.01517,273.024,283.035,28.3087,276.738,-816.684,-54.1458,287.362,679.049,57.9539,291.618
104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.174,-8.97479,273.023,283.004,28.2987,276.738,-816.684,-54.1353,287.375,679.038,57.9548,291.625
105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.177,-8.91871,273.038,283.036,28.2888,276.722,-816.685,-54.0636,287.378,679.041,57.9466,291.63
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.189,-8.88401,273.047,283.039,28.2859,276.736,-816.684,-54.0601,287.372,679.028,57.9684,291.622
107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.206,-8.80224,273.045,283.036,28.2885,276.722,-816.693,-54.0433,287.373,679.033,57.9407,291.624
108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.207,-8.6966,273.043,283.039,28.2861,276.736,-816.695,-54.0344,287.354,679.021,57.9534,291.615
109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.201,-8.62546,273.052,283.029,28.2888,276.735,-816.713,-53.9991,287.357,679.039,57.9481,291.617
110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.214,-8.53645,273.033,283.029,28.289,276.735,-816.707,-53.9361,287.338,679.038,57.9547,291.625
111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.202,-8.42615,273.032,283.029,28.2985,276.726,-816.707,-53.9348,287.338,679.021,57.9537,291.615
112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.195,-8.35164,273.032,283.042,28.3187,276.716,-816.702,-53.9524,287.377,679.021,57.9537,291.615
113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.173,-8.27798,273.014,283.042,28.3131,276.725,-816.705,-53.862,287.373,679.027,57.9685,291.622
114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.171,-8.21716,273.005,283.034,28.3151,276.729,-816.69,-53.813,287.347,679.035,57.9811,291.626
115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.19,-8.17476,273.004,283.035,28.3092,276.738,-816.673,-53.777,287.346,679.035,57.9745,291.617
116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.156,-8.13487,272.996,283.037,28.2921,276.722,-816.673,-53.7767,287.346,679.025,57.9748,291.624
117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.154,-8.07462,272.972,283.03,28.2924,276.735,-816.656,-53.7413,287.345,679.025,57.9748,291.624
118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.146,-8.05894,272.963,283.045,28.316,276.738,-816.639,-53.7043,287.344,679.038,57.9549,291.625
119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.112,-8.01529,272.932,283.037,28.2927,276.722,-816.639,-53.7037,287.344,679.027,57.9751,291.63
120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.097,-7.95718,272.922,283.037,28.2916,276.722,-816.623,-53.5971,287.346,679.036,57.9942,291.632
121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.107,-7.95736,272.941,283.037,28.2919,276.722,-816.632,-53.5761,287.348,679.046,58.0004,291.634
122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.096,-7.95602,272.942,283.035,28.3087,276.738,-816.632,-53.577,287.348,679.036,57.9727,291.623
123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.089,-7.9429,272.96,283.042,28.3129,276.725,-816.623,-53.5952,287.346,679.035,57.9915,291.632
124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.107,-7.95777,272.941,283.042,28.3127,276.725,-816.631,-53.5779,287.348,679.028,57.967,291.628
125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.089,-7.94329,272.96,283.039,28.3038,276.735,-816.623,-53.5949,287.346,679.026,57.966,291.622
126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.103,-7.91578,272.942,283.042,28.3123,276.725,-816.648,-53.6139,287.348,679.031,57.9706,291.623
127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142.096,-7.95503,272.942,283.035,28.3131,276.738,-816.632,-53.5797,287.354,679.039,57.9831,291.633
