Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snake_88:Head_M1,,,Snake_88:M2,,,Snake_88:M3,,,Snake_88:M4,,,Snake_88:M5,,,Snake_88:M6,,,Snake_88:M7,,,Snake_88:M8,,,Snake_88:M9,,,Snake_88:Vent_M10,,,brancho:OriginEnd,,,brancho:TargetEnd,,,brancho:OriginOther,,,brancho:TargetOther,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.583,-98.6473,261.851,398.78,-48.4688,259.051,-882.656,-152.854,277.759,794.427,-16.1749,272.3
84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.626,-98.7587,261.846,398.781,-48.4633,259.054,-882.665,-152.836,277.761,794.429,-16.1528,272.298
85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.588,-98.6577,261.868,398.781,-48.4634,259.054,-882.656,-152.854,277.759,794.429,-16.1521,272.298
86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6081,261.852,398.78,-48.4688,259.051,-882.665,-152.836,277.761,794.429,-16.1523,272.298
87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.587,-98.6534,261.868,398.781,-48.4636,259.054,-882.665,-152.835,277.76,794.429,-16.1523,272.298
88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.621,-98.7468,261.864,398.781,-48.4615,259.055,-882.665,-152.836,277.761,794.427,-16.1748,272.3
89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7203,261.879,398.781,-48.4603,259.046,-882.656,-152.854,277.759,794.429,-16.1529,272.298
90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6172,261.867,398.781,-48.4634,259.054,-882.656,-152.855,277.759,794.429,-16.1521,272.298
91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6306,261.873,398.781,-48.4635,259.054,-882.656,-152.854,277.759,794.429,-16.1523,272.298
92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6324,261.873,398.779,-48.4624,259.048,-882.656,-152.854,277.759,794.442,-16.147,272.298
93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6302,261.849,398.781,-48.4604,259.046,-882.656,-152.854,277.759,794.422,-16.1713,272.298
94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6322,261.873,398.781,-48.4634,259.054,-882.656,-152.854,277.759,794.435,-16.1662,272.297
95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7174,261.879,398.781,-48.4604,259.046,-882.656,-152.854,277.759,794.44,-16.1698,272.3
96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7198,261.879,398.777,-48.4684,259.064,-882.656,-152.854,277.759,794.435,-16.166,272.297
97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6176,261.867,398.777,-48.4686,259.064,-882.665,-152.836,277.761,794.431,-16.1851,272.288
98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6306,261.873,398.781,-48.4635,259.054,-882.656,-152.854,277.759,794.444,-16.1805,272.288
99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6165,261.867,398.777,-48.4684,259.064,-882.656,-152.855,277.759,794.431,-16.1853,272.288
100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6318,261.873,398.777,-48.4685,259.064,-882.665,-152.836,277.761,794.431,-16.1854,272.289
101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6689,261.873,398.777,-48.4653,259.056,-882.656,-152.854,277.759,794.431,-16.1854,272.289
102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6696,261.873,398.777,-48.4684,259.064,-882.656,-152.855,277.759,794.426,-16.1823,272.286
103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6327,261.873,398.776,-48.4753,259.06,-882.656,-152.854,277.759,794.426,-16.1822,272.286
104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6695,261.874,398.766,-48.4977,259.062,-882.665,-152.836,277.761,794.424,-16.2046,272.288
105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.671,261.874,398.764,-48.5001,259.064,-882.665,-152.836,277.761,794.42,-16.1949,272.3
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6705,261.874,398.781,-48.4953,259.053,-882.656,-152.854,277.759,794.421,-16.1989,272.309
107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6705,261.874,398.765,-48.503,259.059,-882.656,-152.855,277.759,794.421,-16.2059,272.288
108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6327,261.873,398.776,-48.5258,259.059,-882.665,-152.836,277.761,794.424,-16.205,272.288
109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.587,-98.6539,261.868,398.78,-48.5052,259.057,-882.665,-152.836,277.761,794.45,-16.2344,272.291
110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.594,-98.6705,261.874,398.792,-48.5273,259.057,-882.656,-152.854,277.759,794.451,-16.2353,272.291
111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.588,-98.6551,261.868,398.792,-48.5279,259.057,-882.665,-152.836,277.761,794.451,-16.2349,272.291
112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6164,261.867,398.777,-48.5274,259.058,-882.656,-152.854,277.759,794.451,-16.2348,272.291
113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.597,-98.6156,261.867,398.766,-48.555,259.057,-882.665,-152.836,277.761,794.451,-16.2348,272.291
114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.632,261.873,398.762,-48.5605,259.067,-882.656,-152.854,277.759,794.451,-16.2348,272.291
115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.603,-98.6325,261.873,398.766,-48.5554,259.057,-882.665,-152.836,277.761,794.424,-16.2053,272.289
116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7174,261.879,398.771,-48.556,259.071,-882.665,-152.836,277.761,794.424,-16.2045,272.288
117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.633,-98.7198,261.879,398.771,-48.5561,259.071,-882.665,-152.836,277.761,794.424,-16.2049,272.288
118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.644,-98.7175,261.878,398.775,-48.5511,259.061,-882.665,-152.836,277.761,794.45,-16.2344,272.291
119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.608,-98.6165,261.866,398.777,-48.5489,259.059,-882.665,-152.836,277.761,794.451,-16.2353,272.291
120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.614,-98.6295,261.871,398.771,-48.556,259.071,-882.665,-152.836,277.761,794.451,-16.2349,272.291
121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.644,-98.7164,261.878,398.784,-48.5343,259.048,-882.665,-152.836,277.761,794.463,-16.2516,272.304
122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.613,-98.6292,261.86,398.785,-48.5281,259.059,-882.656,-152.854,277.759,794.463,-16.2299,272.291
123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.644,-98.7131,261.877,398.778,-48.5486,259.059,-882.656,-152.855,277.759,794.45,-16.2568,272.304
124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.609,-98.6164,261.866,398.788,-48.5213,259.059,-882.656,-152.854,277.759,794.462,-16.2572,272.303
125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.612,-98.6252,261.86,398.788,-48.5192,259.061,-882.656,-152.854,277.759,794.448,-16.2361,272.291
126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-209.614,-98.6312,261.871,398.788,-48.5195,259.061,-882.656,-152.854,277.759,794.465,-16.2298,272.306
