Trial,ID,gsm,gsr,gs_bin,TNorm,x_torq,y_torq,res,hpt,svl,mass
95,89,0.709614584,99.24679495,100,0.037570942,0.010014168,0.015060459,0.018085934,24.36092703,0.715,0.0687
92,89,0.667134134,93.30547331,95,0.033932442,0.006935257,0.014789043,0.01633443,26.40778637,0.715,0.0687
91,89,0.667588533,93.36902563,95,0.045383737,0.010032262,0.019407194,0.021846864,29.35575724,0.715,0.0687
90,89,0.646946147,90.48197857,90,0.042587091,0.008106363,0.018829816,0.020500612,29.32398256,0.715,0.0687
89,89,0.646850685,90.46862729,90,0.036755492,0.009534372,0.01490476,0.017693392,27.84026486,0.715,0.0687
88,89,0.647232662,90.52205057,90,0.030437761,0.004881567,0.013815064,0.014652157,25.59450363,0.715,0.0687
87,89,0.608297276,85.07654205,85,0.020732994,0.003903905,0.009185274,0.009980467,23.00033395,0.715,0.0687
83,89,0.571722775,79.96122722,80,0.102490638,0.008756772,0.048553702,0.049337035,54.00137215,0.715,0.0687
82,89,0.572936803,80.13102145,80,0.05107207,0.000715388,0.024574708,0.024585119,39.7554914,0.715,0.0687
81,89,0.572669497,80.09363588,80,0.10013857,0.010112548,0.04713214,0.048204795,54.34358472,0.715,0.0687
80,89,0.534170953,74.70922419,75,0.111869344,0.001791743,0.05382195,0.053851766,62.73113,0.715,0.0687
79,89,0.533747338,74.64997735,75,0.099978849,0.001400418,0.048107529,0.048127908,58.87724303,0.715,0.0687
78,89,0.534785653,74.79519621,75,0.026564847,0.004015797,0.0121409,0.01278781,30.33200721,0.715,0.0687
